,album_artist,album_mood,album_title,allmusic_href,lyrics,lyrics(normalized_no_stopwords),lyrics(normalized_with_stopwords),positive_score,negative_score,compound_score,sentiment_label,lyrics_href,track_genres,track_length,track_moods,track_title,track_url
10,Nick Drake,austere,Pink Moon,/album/pink-moon-mw0000315191,"A day once dawned, and it was beautiful
A day once dawned from the ground
Then the night she fell
And the air was beautiful
The night she fell all around.

So look see the days
The endless coloured ways
And go play the game that you learnt
From the morning.

And now we rise
We are everywhere
And now we rise from the ground
See she flies
And she is everywhere
See she flies all around

So look see the sights
The endless summer nights
And go play the game that you learnt
From the morning.",day dawn beautiful day dawn ground night fall air beautiful night fall around look see day endless coloured way go play game learn morning rise everywhere rise ground see fly everywhere see fly around look see sight endless summer night go play game learn morning,a day once dawn and it be beautiful a day once dawn from the ground then the night she fall and the air be beautiful the night she fall all around so look see the day the endless coloured way and go play the game that you learn from the morning and now we rise we be everywhere and now we rise from the ground see she fly and she be everywhere see she fly all around so look see the sight the endless summer night and go play the game that you learn from the morning ,0.235,0.0,0.9118,1,/lyric/2388213/Nick+Drake/From+the+Morning,"['Folk', 'Pop/Rock', ""Children's""]",2:29,"['austere', 'laid-back/mellow', 'pastoral', 'calm/peaceful', 'elegant', 'gentle', 'reflective', 'reserved']",From the Morning,https://www.allmusic.com/song/from-the-morning-mt0011308283
11,Kraftwerk,austere,Trans-Europe Express,/album/trans-europe-express-mw0000194538,"Trans-Europe Express
Trans-Europe Express
Trans-Europe Express
Trans-Europe Express

Rendezvous on Champs-Elysees
Leave Paris in the morning on T.E.E.
Trans-Europe Express
Trans-Europe Express
Trans-Europe Express
Trans-Europe Express

In Vienna we sit in a late-night cafe
Straight connection, T.E.E.
Trans-Europe Express
Trans-Europe Express
Trans-Europe Express
Trans-Europe Express

From station to station
Back to Dusseldorf City
Meet Iggy Pop and David Bowie
Trans-Europe Express
Trans-Europe Express
Trans-Europe Express
Trans-Europe Express


",tran europe express tran europe express tran europe express tran europe express rendezvous champ elysee leave paris morning e e tran europe express tran europe express tran europe express tran europe express vienna sit late night cafe straight connection e e tran europe express tran europe express tran europe express tran europe express station station back dusseldorf city meet iggy pop david bowie tran europe express tran europe express tran europe express tran europe express,tran europe express tran europe express tran europe express tran europe express rendezvous on champ elysee leave paris in the morning on t e e tran europe express tran europe express tran europe express tran europe express in vienna we sit in a late night cafe straight connection t e e tran europe express tran europe express tran europe express tran europe express from station to station back to dusseldorf city meet iggy pop and david bowie tran europe express tran europe express tran europe express tran europe express,0.067,0.016,0.5859,1,/lyric/1542120/Kraftwerk/Trans-Europe+Express,"['Avant-Garde', 'Pop/Rock']",6:52,"['austere', 'hypnotic', 'plaintive', 'stately', 'cerebral', 'clinical', 'cold', 'quirky']",Trans-Europe Express,https://www.allmusic.com/song/trans-europe-express-mt0012280373
12,Depeche Mode,austere,The Singles 81>85,/album/the-singles-8185-mw0000650066,"A white house, a white room
The program of today
Lights on, switch on
Your eyes are far away
The map represents you
And the tape is your voice
Follow all along you
Till you recognize the choice
 
I take pictures
Photographic pictures
 
Bright light
Dark room
Bright light
Dark room
 
I said I'd write a letter
But I never got the time
And I'm looking to the day
I mesmerize the light
 
The years I spend just thinking
Of a moment we both knew
A second boss looking into
It seems it can't be true",white house white room program today light switch eye far away map represent tape voice follow along till recognize choice take picture photographic picture bright light dark room bright light dark room say would write letter never get time look day mesmerize light year spend think moment know second boss look seem not true,a white house a white room the program of today light on switch on your eye be far away the map represent you and the tape be your voice follow all along you till you recognize the choice i take picture photographic picture bright light dark room bright light dark room i say i would write a letter but i never get the time and i be look to the day i mesmerize the light the year i spend just think of a moment we both know a second boss look into it seem it can not be true,0.098,0.039,0.5374,1,/lyric/1540073/Depeche+Mode/Photographic,"['Electronic', 'Pop/Rock']",3:13,"['detached', 'intense', 'austere', 'brash', 'clinical', 'cold', 'confident', 'dramatic']",Photographic,https://www.allmusic.com/song/photographic-mt0004585292
13,Depeche Mode,austere,The Singles 86>98,/album/the-singles-8698-mw0000044407,"My little girl
Drive anywhere
Do what you want
I don't care

Tonight
I'm in the hands of fate
I hand myself
Over on a plate

Now
Oh little girl
There are times when I feel
I rather not be
The one behind the wheel

Come
Pull my strings
Watch me move
I do anything

Please
Sweet little girl
I prefer
You behind the wheel
And me the passenger

Drive
I'm yours to keep
Do what you want
I'm going cheap

Tonight
You're behind the wheel, tonight",little girl drive anywhere want not care tonight hand fate hand plate oh little girl time feel rather not one behind wheel come pull string watch move anything please sweet little girl prefer behind wheel passenger drive keep want go cheap tonight behind wheel tonight,my little girl drive anywhere do what you want i do not care tonight i be in the hand of fate i hand myself over on a plate now oh little girl there be time when i feel i rather not be the one behind the wheel come pull my string watch me move i do anything please sweet little girl i prefer you behind the wheel and me the passenger drive i be yours to keep do what you want i be go cheap tonight you be behind the wheel tonight,0.147,0.147,-0.2462,0,/lyric/71169/Depeche+Mode/Behind+the+Wheel-Route+66+%5BMega-Single+Mix%5D,"['Pop/Rock', 'Electronic']",,"['austere', 'sensual', 'brooding', 'hypnotic', 'ominous', 'reflective', 'detached', 'intimate']",Behind the Wheel,https://www.allmusic.com/song/behind-the-wheel-mt0006161218
14,Depeche Mode,austere,The Singles 86>98,/album/the-singles-8698-mw0000044407,"Little fifteen
You help her forget
The world outside
You're not part of it yet
And if you could drive
You could drive her away
To a happier place
To a happier day
That exists in your mind
And in your smile
She could escape there
Just for a while 
Little fifteen 
Little fifteen
Why take the smooth with the rough
When things run smooth
It's already more than enough
She knows your mind
Is not yet in league
With the rest of the world
And its little intrigues
Do you understand
Do you know what she means
As time goes by
And when you've seen what she's seen
you will
Little fifteen 
Little fifteen
Why does she have to defend
Her feelings inside
Why pretend
She's not had a life
A life of near misses
Now all that she wants
Is three little wishes
She wants to see with your eyes
She wants to smile with your smile
She wants a nice surprise
Every once in a while
She wants to see with your eyes
She wants to smile with your smile
She wants a nice surprise
Every once in a while
Little fifteen",little fifteen help forget world outside not part yet could drive could drive away happy place happy day exist mind smile could escape little fifteen little fifteen take smooth rough thing run smooth already enough know mind not yet league rest world little intrigue understand know mean time go see see little fifteen little fifteen defend feeling inside pretend not life life near miss want three little wish want see eye want smile smile want nice surprise every want see eye want smile smile want nice surprise every little fifteen,little fifteen you help her forget the world outside you be not part of it yet and if you could drive you could drive her away to a happy place to a happy day that exist in your mind and in your smile she could escape there just for a while little fifteen little fifteen why take the smooth with the rough when thing run smooth it be already more than enough she know your mind be not yet in league with the rest of the world and its little intrigue do you understand do you know what she mean as time go by and when you have see what she be see you will little fifteen little fifteen why do she have to defend her feeling inside why pretend she be not have a life a life of near miss now all that she want be three little wish she want to see with your eye she want to smile with your smile she want a nice surprise every once in a while she want to see with your eye she want to smile with your smile she want a nice surprise every once in a while little fifteen,0.401,0.04,0.986,1,/lyric/997110/Depeche+Mode/Little+15,['Pop/Rock'],,"['ambitious', 'austere', 'brooding', 'dramatic', 'somber', 'sparse', 'melancholy', 'ominous']",Little 15,https://www.allmusic.com/song/little-15-mt0006113829
15,Kraftwerk,austere,Autobahn,/album/autobahn-mw0000195085,"We are driving on the Autobahn 

In front of us is a wide valley 
The sun is shining with glittering rays 

The driving strip is a grey track 
White stripes, green edge 

We are switching the radio on 
From the speaker it sounds: 

We are driving on the Autobahn 
",drive autobahn front us wide valley sun shin glitter ray drive strip grey track white stripe green edge switch radio speaker sound drive autobahn,we be drive on the autobahn in front of us be a wide valley the sun be shin with glitter ray the drive strip be a grey track white stripe green edge we be switch the radio on from the speaker it sound we be drive on the autobahn ,0.05,0.0,0.0516,1,/lyric/5661691/Kraftwerk/Autobahn+%5B%22Edit%22%5D,"['Avant-Garde', 'Pop/Rock']",22:42,"['austere', 'cold', 'dreamy', 'hypnotic', 'plaintive', 'refined', 'soft/quiet', 'stately']",Autobahn,https://www.allmusic.com/song/autobahn-mt0033999378
16,Kraftwerk,austere,Autobahn,/album/autobahn-mw0000195085,"Instru




",instru,instru,0.0,0.0,0.0,0,/lyric/4221722/Kraftwerk/Mitternacht,"['Avant-Garde', 'Electronic', 'Pop/Rock']",3:40,"['austere', 'cold', 'dreamy', 'eerie', 'spacey', 'unsettling', 'nocturnal', 'sophisticated']",Mitternacht,https://www.allmusic.com/song/mitternacht-mt0033414995
17,PJ Harvey,austere,White Chalk,/album/white-chalk-mw0000486087,"As soon as I'm left alone
The Devil wanders into my soul
And I pretend to myself
And I pretend to myself

I go out to the old milestone
Insanely expecting you to come there knowing
That I wait for you there
That I wait for you there

Come, come
Come here at once
Come, come
On a night with no moon

Because all of my being
Is now in pining
All of my being
Is now in pining

What finally cheered me
Now seems
Insignificant
Insignificant",soon leave alone devil wander soul pretend pretend go old milestone insanely expect come know wait wait come come come come come night no moon pin pin finally cheer seem insignificant insignificant,as soon as i be leave alone the devil wander into my soul and i pretend to myself and i pretend to myself i go out to the old milestone insanely expect you to come there know that i wait for you there that i wait for you there come come come here at once come come on a night with no moon because all of my being be now in pin all of my being be now in pin what finally cheer me now seem insignificant insignificant,0.076,0.398,-0.8779,0,/lyric/12186202/PJ+Harvey/The+Devil,['Pop/Rock'],2:55,"['atmospheric', 'eerie', 'spooky', 'weary', 'angst-ridden', 'austere', 'hypnotic', 'intense']",The Devil,https://www.allmusic.com/song/the-devil-mt0016910513
18,PJ Harvey,austere,White Chalk,/album/white-chalk-mw0000486087,"Dear darkness, dear darkness
Won't you cover, cover me again?
Dear darkness, dear
I've been your friend for many years

Won't you do this for me, dearest darkness?
And cover me from the sun
And though the words tightening
The words are tightening around my throat and, and

Around the throat of the one I love
Tightening, tightening, tightening
Around the throat of the one I love
Tightening, tightening, tightening

Dear darkness, dear darkness
Now it's your time to look after us
?Cause we kept your clothes, we kept your business
When everyone else was having good luck

So now it's your time, time to pay
To pay me and the one I love
With the worldly goods you stashed away
With all the things you took from us",dear darkness dear darkness not cover cover dear darkness dear friend many year not dear darkness cover sun though word tighten word tighten around throat around throat one love tighten tighten tighten around throat one love tighten tighten tighten dear darkness dear darkness time look us keep clothe keep business everyone else good luck time time pay pay one love worldly good stash away thing take us,dear darkness dear darkness will not you cover cover me again dear darkness dear i have be your friend for many year will not you do this for me dear darkness and cover me from the sun and though the word tighten the word be tighten around my throat and and around the throat of the one i love tighten tighten tighten around the throat of the one i love tighten tighten tighten dear darkness dear darkness now it be your time to look after us because we keep your clothe we keep your business when everyone else be have good luck so now it be your time time to pay to pay me and the one i love with the worldly good you stash away with all the thing you take from us,0.417,0.144,0.9849,1,/lyric/12186203/PJ+Harvey/Dear+Darkness,['Pop/Rock'],3:09,"['atmospheric', 'eerie', 'spooky', 'weary', 'angst-ridden', 'austere', 'hypnotic', 'intense']",Dear Darkness,https://www.allmusic.com/song/dear-darkness-mt0016891915
19,PJ Harvey,austere,White Chalk,/album/white-chalk-mw0000486087,"I sowed a seed
Underneath the oak tree
I trod it in
With my boots I trampled it down

Grow
Grow
Grow

I sowed a rose
Underneath the oak grove
With my boots on the ground
Into the earth I trampled it down

Grow
Grow
Grow

Teach me how to...
Teach me how to...

Teach me, Mommy
How to grow
How to catch someone's fancy
Underneath the twisted oak grove",sow seed underneath oak tree trod boot trample grow grow grow sow rose underneath oak grove boot ground earth trample grow grow grow teach teach teach mommy grow catch someone fancy underneath twisted oak grove,i sow a seed underneath the oak tree i trod it in with my boot i trample it down grow grow grow i sow a rose underneath the oak grove with my boot on the ground into the earth i trample it down grow grow grow teach me how to teach me how to teach me mommy how to grow how to catch someone fancy underneath the twisted oak grove,0.0,0.0,0.0,0,/lyric/12186204/PJ+Harvey/Grow+Grow+Grow,['Pop/Rock'],3:21,"['atmospheric', 'eerie', 'spooky', 'weary', 'angst-ridden', 'austere', 'hypnotic', 'intense']",Grow Grow Grow,https://www.allmusic.com/song/grow-grow-grow-mt0028178558
20,PJ Harvey,austere,White Chalk,/album/white-chalk-mw0000486087,"The ceiling is moving
Moving in time
Like a conveyor belt
Above my eyes

When under ether
The mind comes alive
But conscious of nothing
But the will to survive

I lay on the bed
Waist down undressed
Look up at the ceiling
Feeling happiness
Human kindness

The woman beside me
Is holding my hand
I point at the ceiling
She smiles so kind

Something's inside me
Unborn and unblessed
Disappears in the ether
This world to the next

Disappears in the ether
One world to the next
Human kindness",ceiling move move time like conveyor belt eye ether mind come alive conscious nothing survive lie bed waist undressed look ceiling feel happiness human kindness woman beside hold hand point ceiling smile kind something inside unborn unblessed disappear ether world next disappear ether one world next human kindness,the ceiling be move move in time like a conveyor belt above my eye when under ether the mind come alive but conscious of nothing but the will to survive i lie on the bed waist down undressed look up at the ceiling feel happiness human kindness the woman beside me be hold my hand i point at the ceiling she smile so kind something inside me unborn and unblessed disappear in the ether this world to the next disappear in the ether one world to the next human kindness,0.363,0.058,0.9638,1,/lyric/12186205/PJ+Harvey/When+Under+Ether,['Pop/Rock'],2:22,"['atmospheric', 'eerie', 'spooky', 'weary', 'angst-ridden', 'austere', 'hypnotic', 'intense']",When Under Ether,https://www.allmusic.com/song/when-under-ether-mt0016888808
21,PJ Harvey,austere,White Chalk,/album/white-chalk-mw0000486087,"White chalk hills are all I've known
White chalk hills will rot my bones
White chalk sticking to my shoes
White chalk playing as a child with you

White chalk stands against time
White chalk cutting down the sea at Lyme
I walk families by the Cerne
On a path cut fifteen hundred years ago

And I know
These chalk hills will rot my bones

Dorset's cliffs meet at the sea
Where I walked our unborn child in me
White chalk, gorse-scattered land
Scratched my palms, there's blood on my hands",white chalk hill know white chalk hill rot bone white chalk stick shoe white chalk play child white chalk stand time white chalk cut sea lyme walk family cerne path cut fifteen hundred year ago know chalk hill rot bone dorset cliff meet sea walk unborn child white chalk gorse scatter land scratch palm blood hand,white chalk hill be all i have know white chalk hill will rot my bone white chalk stick to my shoe white chalk play as a child with you white chalk stand against time white chalk cut down the sea at lyme i walk family by the cerne on a path cut fifteen hundred year ago and i know these chalk hill will rot my bone dorset cliff meet at the sea where i walk our unborn child in me white chalk gorse scatter land scratch my palm there be blood on my hand,0.091,0.068,0.34,1,/lyric/12186206/PJ+Harvey/White+Chalk,['Pop/Rock'],3:07,"['atmospheric', 'eerie', 'spooky', 'weary', 'angst-ridden', 'austere', 'hypnotic', 'intense']",White Chalk,https://www.allmusic.com/song/white-chalk-mt0016906876
